Category,Sub Category,Ward Name
Solid Waste (Garbage) Related,Garbage nuisance while transporting,J.P.Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Arakere
Road Maintenance(Engg),Overhanging cables,Arakere
Electrical,Street Light Not Working,Madiwala
Solid Waste (Garbage) Related,Garbage dump,Sri Nagar
Sanitation,Urination in Public/Open Defecation,Bellandur
Solid Waste (Garbage) Related,Segregation of waste is not done,J.P.Nagar
Forest,obstructions Branches / Trees.,Basavanapura
Solid Waste (Garbage) Related,Garbage dump,Basavanapura
Road Maintenance(Engg),Potholes,Hebbal
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Doddanekkundi
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Sampangiram Nagar
Solid Waste (Garbage) Related,Dead animal(s),Hampi Nagar
Forest,Removal of dead/fallen trees,Jeevanbhima Nagar
Solid Waste (Garbage) Related,Garbage dump,Jogupalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Bellandur
Forest,obstructions Branches / Trees.,Doddanekkundi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hagadooru
Solid Waste (Garbage) Related,Garbage dump,Kadugodi
Forest,Removal of dead/fallen trees,Kadugondanahalli
Electrical,Street Light Not Working,Gayathri Nagar
Forest,Removal of dead/fallen trees,Vidyaranyapura
veterinary,Stray/Rabid dog bite,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage dump,Jakkasandra
