Category,Sub Category,Ward Name
Solid Waste (Garbage) Related,Dead animal(s),Rajarajeshwari Nagar
Lakes,Lake fencing damaged,Jakkur
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Bapuji Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Bapuji Nagar
Road Infrastructure,Road Infrastructure,Visvesvarapuram
veterinary,Animal Rescue - Not well - Requires attention,Mathikere
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Bapuji Nagar
Health Dept,Indira Canteen,H.M.T
veterinary,Fatally injured - Needs immediate attention,Ramamurthy Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Bapuji Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Dharmarayaswamy Temple Ward
veterinary,Stray dog related complaints,Ullalu
Electrical,Street Lights Switched On During Day Time,Benniganahalli
veterinary,Animal birth control/neutering of stray dogs,Domlur
Forest,Removal of dead/fallen trees,Hampi Nagar
Road Infrastructure,Road Infrastructure,Basavanagudi
Road Maintenance(Engg),Potholes,Kempegowda Ward
Sanitation,Urination in Public/Open Defecation,Thanisandra
Advertisement,Flex and banners,Ganga Nagar
Lakes,Lake not maintained properly,Herohalli
Lakes,Sewage inflow to lake,Herohalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Sanjay Nagar
veterinary,Animal Cruelty/Ill-Treated / Abused,Sarakki
veterinary,Animal birth control/neutering of stray dogs,Gottigere
Markets,Violation of rules by Shop rent / Leaser,Ejipura
Road Maintenance(Engg),footpath encroachment,Muneshwara Nagar
Health Dept,Air/Noise pollution,K.R.Puram
Health Dept,Air/Noise pollution,Kodigehalli
Road Maintenance(Engg),Road cutting,Hemmigepura
Others,Others,K.R.Puram
Estate,BBMP  Properties Lease issues,Hanumantha Nagar
Electrical,Requirement For New Street Lights,Jakkur
Road Maintenance(Engg),Potholes,Jaraganahalli
Forest,obstructions Branches / Trees.,K.R.Puram
Road Maintenance(Engg),Potholes,Gurappanapalya
Advertisement,Flex and banners,Subedarapalya
Road Maintenance(Engg),UnAuthorised Constructions,Kadugodi
Road Maintenance(Engg),Potholes,Jayanagar East
Road Maintenance(Engg),Road cutting,Peenya Industrial Area
veterinary,Stray dog related complaints,Kengeri
Town Planning,Noise during Building Construction,Vidyaranyapura
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Visvesvarapuram
Road Infrastructure,Road Infrastructure,Puttenahalli
Solid Waste (Garbage) Related,Sweeping not done,C.V.Raman Nagar
veterinary,Stray dog related complaints,Devasandra
Road Maintenance(Engg),Road side drains,Devasandra
Forest,Removal of dead/fallen trees,C.V.Raman Nagar
Electrical,Requirement For New Street Lights,Rajaji Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Hemmigepura
Electrical,Park Lights Not Working,Ulsoor
Advertisement,Flex and banners,Aramane Nagar
Road Maintenance(Engg),water stagnation,Gandhi Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Domlur
veterinary,Anti Rabies Vaccination of stray dogs,Hemmigepura
veterinary,Stray dog related complaints,Hemmigepura
Health Dept,Unhygienic premises in Hotel etc,Bellandur
Road Maintenance(Engg),Footpath,Bellandur
Road Maintenance(Engg),Debris Removal / Construction Material,Bellandur
Electrical,Street Light Not Working,Dharmarayaswamy Temple Ward
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jakkur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,HBR Layout
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jaraganahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jalahalli
Road Infrastructure,Road Infrastructure,Giri Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Uttarahalli
veterinary,Anti Rabies Vaccination of stray dogs,Maruthi Seva Nagar
Storm  Water Drain(SWD),Sewerage water left in SWD,Uttarahalli
Health Dept,Unavailability of staff,Jeevanbhima Nagar
E khata / Khata services,Ekhata - name correction,Bapuji Nagar
Forest,obstructions Branches / Trees.,Hanumantha Nagar
Lakes,Dumping of garbage into lake,Uttarahalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,J.P.Park
Road Infrastructure,Road Infrastructure,Rajamahal
Others,Others,Chokkasandra
Road Maintenance(Engg),footpath encroachment,Dr.Rajkumar Ward
E khata / Khata services,Ekhata Other corrections,Begur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Vidyaranyapura
Parks and Play grounds,Gym/Children Play equipment in the parks,Vignana Nagar
Others,Others,Rajarajeshwari Nagar
Storm  Water Drain(SWD),Maintenance of SWD,Visvesvarapuram
E khata / Khata services,ekhata approval pending with ARO,Kushal Nagar
veterinary,Stray/Rabid dog bite,Hoysala Nagar
Road Maintenance(Engg),Potholes,Vidyapeetha
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Laggere
E khata / Khata services,Ekhata - name correction,Herohalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Yadiyuru
veterinary,Stray dog related complaints,Vrushabhavati Nagar
Water Crisis,Water related issue,Jakkur
Road Maintenance(Engg),Road side drains,HBR Layout
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Hemmigepura
Road Maintenance(Engg),Road side drains,Cottonpet
veterinary,Stray dog related complaints,Shettyhalli
E khata / Khata services,Ekhata Area Correction,Begur
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Jakkur
Parks and Play grounds,Play Grounds,Hoysala Nagar
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Moodalapalya
Road Maintenance(Engg),Footpath,Vasanthapura
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Benniganahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Yadiyuru
Traffic Engineer Cell (TEC),TEC,Vijay Nagar
Plastic,Use of banned single use plastic,Dodda Bidarkallu
Solid Waste (Garbage) Related,Garbage dump,Mallasandra
Road Maintenance(Engg),UnAuthorised Constructions,Hagadooru
,Basavaraja TakkalakI/AE,,
veterinary,Stray/Rabid dog bite,Doddanekkundi
Health Dept,Air/Noise pollution,Hegganahalli
Road Maintenance(Engg),Road side drains,Rayapuram
Town Planning,UnAuthorised Building Constructions,Sanjay Nagar
Road Maintenance(Engg),Road cutting,Jagajeevanram Nagar
Others,Others,Puttenahalli
Road Maintenance(Engg),Potholes,Nagavara
Others,Others,Banashankari Temple Ward
Road Maintenance(Engg),Road side drains,Hampi Nagar
E khata / Khata services,Ekhata missing in online,Malleshwaram
Road Maintenance(Engg),Road cutting,Puttenahalli
Electrical,Street Lights Switched On During Day Time,Vijanapura
Electrical,Open Electrical Junction Box,Vidyaranyapura
veterinary,Animal Rescue - Not well - Requires attention,J.P.Nagar
veterinary,Stray/Rabid dog bite,Hebbal
Parks and Play grounds,Gym/Children Play equipment in the parks,Kottigepalya
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Begur
Optical Fiber Cables (OFC),Without permission digging of road,J.P.Park
Road Maintenance(Engg),footpath encroachment,HSR Layout
Health Dept,Unhygienic premises in Hotel etc,Banaswadi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Marenahalli
veterinary,Animal birth control/neutering of stray dogs,Hoodi
Solid Waste (Garbage) Related,Sweeping not done,Singasandra
veterinary,Animal Rescue - Not well - Requires attention,Manorayanapalya
E khata / Khata services,new Khata / Ekhata registration / creation,Anjanapur
E khata / Khata services,Technical Issue In Ekhata,Jnanabharathi Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Sunkenahalli
Forest,obstructions Branches / Trees.,Jayachamarajendra Nagar
Health Dept,Increase in mosquito density,Chokkasandra
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jeevanbhima Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Sarakki
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Gali Anjaneya Swamy Temple Ward
Road Maintenance(Engg),Road side drains,Sunkenahalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,HAL Airport
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Dodda Bidarkallu
Road Maintenance(Engg),Footpath,Jeevanbhima Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Vasanthapura
Solid Waste (Garbage) Related,Sweeping not done,Shankaramata
Road Infrastructure,Road Infrastructure,Vasanthapura
Solid Waste (Garbage) Related,Segregation of waste is not done,Shanthala Nagar
Call Center,Call center Issues,Shanthala Nagar
Health Dept,Increase in mosquito density,Shanthala Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,BTM Layout
Estate,Violation of rules by property Leasers,Giri Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Doddanekkundi
Solid Waste (Garbage) Related,Sweeping not done,Visvesvarapuram
Storm  Water Drain(SWD),Maintenance of SWD,Horamavu
Road Maintenance(Engg),Road cutting,Ramamurthy Nagar
veterinary,Animal birth control/neutering of stray dogs,Ullalu
E khata / Khata services,Ekhata - name correction,Vignana Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Lingarajapuram
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,J.P.Park
E khata / Khata services,Ekhata missing in online,K.R.Puram
Solid Waste (Garbage) Related,Sweeping not done,Hampi Nagar
Solid Waste (Garbage) Related,Dead animal(s),Doddabommasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Prakash Nagar
Road Maintenance(Engg),Potholes,Hegganahalli
veterinary,Stray dog related complaints,Karisandra
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Uttarahalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Newthippasandra
Forest,obstructions Branches / Trees.,Madiwala
Road Maintenance(Engg),Road cutting,Hoysala Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,J.P.Nagar
Solid Waste (Garbage) Related,Sweeping not done,Hagadooru
Others,Others,Gottigere
Town Planning,Noise during Building Construction,Rajarajeshwari Nagar
Road Infrastructure,Road Infrastructure,H.M.T
veterinary,Animal Rescue - Not well - Requires attention,Nagavara
Town Planning,UnAuthorised Building Constructions,Agaram
Electrical,Street Lights Switched On During Day Time,Thanisandra
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Thanisandra
Electrical,Street Lights Switched On During Day Time,Lingarajapuram
veterinary,Stray dog related complaints,Dr.Rajkumar Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Sampangiram Nagar
Solid Waste (Garbage) Related,Dead animal(s),C.V.Raman Nagar
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,K.R.Market
Sanitation,Urination in Public/Open Defecation,Laggere
Road Maintenance(Engg),Debris Removal / Construction Material,Singasandra
Solid Waste (Garbage) Related,Segregation of waste is not done,Doddanekkundi
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Vignana Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Marathalli
Forest,obstructions Branches / Trees.,Aramane Nagar
veterinary,Stray dog related complaints,Hebbal
Sanitation,Urination in Public/Open Defecation,Katriguppe
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Banaswadi
Solid Waste (Garbage) Related,Sweeping not done,Jalahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hosakerehalli
Others,Others,Vijay Nagar
veterinary,Animal birth control/neutering of stray dogs,Begur
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Vijay Nagar
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Vijay Nagar
Solid Waste (Garbage) Related,Dead animal(s),Visvesvarapuram
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Garudacharpalya
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Ganga Nagar
Road Infrastructure,Road Infrastructure,Koramangala
veterinary,Stray/Rabid dog bite,Vishwanathnagenahalli
street dogs cannot be relocated. Relocation of street dogs is a punishable offence.,Chandrika B R/VI,,
Solid Waste (Garbage) Related,Dead animal(s),HSR Layout
Road Maintenance(Engg),Road side drains,Manorayanapalya
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Hemmigepura
Indira Canteen,Food Quantity,Pattabhiram Nagar
veterinary,Animal Rescue - Not well - Requires attention,Mahalakshmipuram
Road Maintenance(Engg),Footpath,Shanthi Nagar
Electrical,Street Lights Switched On During Day Time,Bellandur
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Shankaramata
Road Infrastructure,Road Infrastructure,Chowdeshwari Ward
Solid Waste (Garbage) Related,Sweeping not done,Byrasandra
veterinary,Stray dog related complaints,Maruthi Mandira Ward
Solid Waste (Garbage) Related,Dead animal(s),Byatarayanapura
Road Maintenance(Engg),Footpath,Gandhi Nagar
Parks and Play grounds,Gym/Children Play equipment in the parks,Basavanapura
Road Maintenance(Engg),Debris Removal / Construction Material,Mangammanapalya
Road Maintenance(Engg),Road cutting,Banaswadi
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kadugodi
Solid Waste (Garbage) Related,Public dustbins not cleaned,Gandhi Nagar
Road Infrastructure,Road Infrastructure,Someshwara
Forest,Removal of dead/fallen trees,Bagalagunte
Solid Waste (Garbage) Related,Public dustbins not cleaned,Yadiyuru
Solid Waste (Garbage) Related,Garbage dump,Shankaramata
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Bellandur
Road Maintenance(Engg),water leakage on road,Madiwala
Road Maintenance(Engg),Footpath,Jayanagar East
veterinary,Anti Rabies Vaccination of stray dogs,Hagadooru
Solid Waste (Garbage) Related,Public dustbins not cleaned,Varthur
veterinary,Stray cattle related complaints,Basavanapura
Health Dept,Increase in mosquito density,Hoodi
Electrical,Requirement For New Street Lights,Banaswadi
Others,Others,Chowdeshwari Ward
Solid Waste (Garbage) Related,Sweeping not done,Kottigepalya
veterinary,Stray/Rabid dog bite,Jakkasandra
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Sunkenahalli
Electrical,Requirement For New Street Lights,Vijay Nagar
Electrical,Requirement For New Street Lights,Anjanapur
veterinary,Stray dog related complaints,A.Narayanapura
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Mathikere
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Anjanapur
veterinary,Animal Rescue - Not well - Requires attention,Deepanjali Nagar
Road Maintenance(Engg),Potholes,Thanisandra
Road Maintenance(Engg),Debris Removal / Construction Material,Dr.Rajkumar Ward
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Kottigepalya
veterinary,Fatally injured - Needs immediate attention,Basavanagudi
Solid Waste (Garbage) Related,Garbage dump,Adugodi
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Ullalu
Road Maintenance(Engg),water stagnation,Jayangar
Health Dept,Spraying,Hampi Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Jayanagar East
veterinary,Fatally injured - Needs immediate attention,Hoodi
veterinary,Anti Rabies Vaccination of stray dogs,Gayathri Nagar
veterinary,Stray dog related complaints,Kumaraswamy Layout
Road Maintenance(Engg),Footpath,Kottigepalya
Road Infrastructure,Road Infrastructure,Vijanapura
Forest,Removal of dead/fallen trees,Vijanapura
Road Maintenance(Engg),Potholes,Govindraja Nagara
Solid Waste (Garbage) Related,Garbage dump,Kamakshipalya
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Radhakrishna Temple
Road Infrastructure,Road Infrastructure,Dr.Rajkumar Ward
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Muneshwara Nagar
veterinary,Fatally injured - Needs immediate attention,Newthippasandra
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Doddanekkundi
Road Infrastructure,Road Infrastructure,Sudduguntepalya
veterinary,Stray dog related complaints,Aramane Nagar
Solid Waste (Garbage) Related,Garbage dump,Vrushabhavati Nagar
